modelo_id;topic_id;doc_id;eval_1;eval_2;eval_3;eval_4
BERTOPIC;16;4;1;1;1;1
BERTOPIC;16;5;1;1;1;1
BERTOPIC;17;1;1;1;1;1
BERTOPIC;17;2;1;1;1;1
BERTOPIC;17;3;1;1;1;1
BERTOPIC;17;4;1;1;1;1
BERTOPIC;17;5;1;1;1;1
BERTOPIC;18;1;1;1;1;1
BERTOPIC;18;2;1;1;1;1
BERTOPIC;18;3;1;1;1;1
BERTOPIC;18;4;1;1;1;1
BERTOPIC;18;5;1;1;1;1
BERTOPIC;19;1;2;1;1;1
BERTOPIC;19;2;2;1;1;1
BERTOPIC;19;3;2;1;1;1
BERTOPIC;19;4;2;1;1;1
BERTOPIC;19;5;2;1;1;1
BERTOPIC;20;1;1;1;1;1
BERTOPIC;20;2;1;1;1;1
BERTOPIC;20;3;2;1;2;1
BERTOPIC;20;4;1;1;1;1
BERTOPIC;20;5;1;1;1;1
Kmeans_tfidf;1;1;1;1;1;1
Kmeans_tfidf;1;2;1;1;1;1
Kmeans_tfidf;1;3;1;1;1;1
Kmeans_tfidf;1;4;1;1;1;1
Kmeans_tfidf;1;5;1;1;1;1
Kmeans_tfidf;2;1;2;2;2;2
Kmeans_tfidf;2;2;2;1;1;2
Kmeans_tfidf;2;3;2;1;1;2
Kmeans_tfidf;2;4;1;1;1;1
Kmeans_tfidf;2;5;2;1;1;1
Kmeans_tfidf;3;1;2;1;1;1
Kmeans_tfidf;3;2;2;1;1;2
Kmeans_tfidf;3;3;1;1;1;1
Kmeans_tfidf;3;4;2;1;1;1
Kmeans_tfidf;3;5;2;1;1;2
Kmeans_tfidf;4;1;1;1;1;1
Kmeans_tfidf;4;2;1;1;1;1
Kmeans_tfidf;4;3;1;1;1;1
Kmeans_tfidf;4;4;1;1;1;1
Kmeans_tfidf;4;5;1;1;1;1
Kmeans_tfidf;5;1;1;1;1;1
Kmeans_tfidf;5;2;1;1;1;1
Kmeans_tfidf;5;3;1;1;1;1
Kmeans_tfidf;5;4;1;1;1;1
Kmeans_tfidf;5;5;1;1;1;1
Kmeans_tfidf;6;1;1;1;1;1
Kmeans_tfidf;6;2;1;1;1;1
Kmeans_tfidf;6;3;1;1;1;1
Kmeans_tfidf;6;4;1;1;1;1
